name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Capnocytophaga sputigena	1019	S	12	9	21	0.00023
Capnocytophaga leadbetteri	327575	S	11	12	23	0.00026
Chryseobacterium manosquense	2754694	S	12	16	28	0.00031
Campylobacter concisus	199	S	4231	74	4305	0.04804
Campylobacter rectus	203	S	27	1	28	0.00031
Campylobacter showae	204	S	25	0	25	0.00028
Acinetobacter junii	40215	S	96	28	124	0.00138
Acinetobacter baumannii	470	S	10	284	294	0.00328
Moraxella osloensis	34062	S	19	9	28	0.00031
Vibrio kanaloae	170673	S	138	57	195	0.00218
Vibrio plantisponsor	664643	S	87	6	93	0.00104
Haemophilus parainfluenzae	729	S	182	35	217	0.00242
Haemophilus haemolyticus	726	S	10	10	20	0.00022
Pseudoalteromonas prydzensis	182141	S	94	20	114	0.00127
Pseudoalteromonas rhizosphaerae	2518973	S	18	5	23	0.00026
Pseudomonas fluorescens	294	S	13	64	77	0.00086
Escherichia coli	562	S	11	196	207	0.00231
Xanthomonas campestris	339	S	16	8	24	0.00027
Halomonas sp. JS92-SW72	2306583	S	23	6	29	0.00032
Polaromonas naphthalenivorans	216465	S	10	57	67	0.00075
Burkholderia cenocepacia	95486	S	24	157	181	0.00202
Neisseria sicca	490	S	50	55	105	0.00117
Neisseria mucosa	488	S	42	86	128	0.00143
Neisseria subflava	28449	S	26	17	43	0.00048
Neisseria flavescens	484	S	19	12	31	0.00035
Neisseria macacae	496	S	19	37	56	0.00062
Neisseria meningitidis	487	S	17	84	101	0.00113
Neisseria elongata	495	S	10	4	14	0.00016
Kingella denitrificans	502	S	12	6	18	0.00020
Bradyrhizobium sp. SK17	2057741	S	24	72	96	0.00107
Mesorhizobium terrae	2725666	S	10	24	34	0.00038
Leptotrichia wadei	157687	S	2027	348	2375	0.02650
Leptotrichia sp. oral taxon 221	712362	S	182	29	211	0.00235
Leptotrichia sp. oral taxon 218	712361	S	128	42	170	0.00190
Leptotrichia sp. oral taxon 498	712368	S	56	18	74	0.00083
Leptotrichia sp. oral taxon 847	1785996	S	39	6	45	0.00050
Leptotrichia sp. oral taxon 212	712357	S	32	1	33	0.00037
Leptotrichia shahii	157691	S	109	22	131	0.00146
Leptotrichia trevisanii	109328	S	68	8	76	0.00085
Leptotrichia buccalis	40542	S	47	6	53	0.00059
Leptotrichia hofstadii	157688	S	35	6	41	0.00046
Leptotrichia hongkongensis	554406	S	21	3	24	0.00027
Fusobacterium pseudoperiodonticum	2663009	S	248	87	335	0.00374
Fusobacterium nucleatum	851	S	201	64	265	0.00296
Fusobacterium periodonticum	860	S	30	46	76	0.00085
Candidatus Nanosynbacter sp. HMT-352	2899133	S	904	96	1000	0.01116
Candidatus Nanosynbacter lyticus	2093824	S	10	2	12	0.00013
Candidatus Minimicrobia vallesae	2841264	S	101	48	149	0.00166
Treponema sp. OMZ 803	120682	S	10	61	71	0.00079
Treponema medium	58231	S	34	13	47	0.00052
Treponema vincentii	69710	S	34	25	59	0.00066
Treponema socranskii	53419	S	23	1	24	0.00027
Treponema denticola	158	S	11	8	19	0.00021
Luteolibacter ambystomatis	2824561	S	11	16	27	0.00030
Phaeodactylum tricornutum	2850	S	120	4	124	0.00138
Thalassiosira pseudonana	35128	S	114	8	122	0.00136
Homo sapiens	9606	S	118	16	134	0.00150
Guillardia theta	55529	S	24	10	34	0.00038
Severe acute respiratory syndrome-related coronavirus	694009	S	1532	0	1532	0.01710
