Sample	s_name	totalpairs	discardpairs	percdiscard	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913112_1	ERR6913112_1	31722	0	0.0	27897	58	3767	88.12
ERR6913113_1	ERR6913113_1	111922	0	0.0	109811	123	1988	98.22
ERR6913122_1	ERR6913122_1	372663	0	0.0	343705	469	28489	92.36
ERR6913208_1	ERR6913208_1	54613	0	0.0	52863	74	1676	96.93
ERR6913209_1	ERR6913209_1	14007	0	0.0	12952	13	1042	92.56
ERR6913218_1	ERR6913218_1	143191	0	0.0	129671	171	13349	90.68
ERR6913320_1	ERR6913320_1	936997	0	0.0	693416	934	242647	74.1
ERR6913349_1	ERR6913349_1	1596598	0	0.0	1378679	1691	216228	86.46
